DATE,WEB_NAME,NETWORK,DEVICE_TYPE,OPERATING_SYSTEM,GENDER,AGE_GROUP,KRAJ,IMPRESSIONS,CLICKS,CONVERSIONS,CONVERSION_VALUE,MONEY
2026-07-26,Kliknito.cz,context,MediaHub,Android,Žena,40 - 59,Jihomoravský kraj,3,0,0,0.0,0.0
2026-07-26,Kliknito.cz,context,MediaHub,Android,Žena,40 - 59,Olomoucký kraj,4,0,0,0.0,0.0
2026-07-26,Kliknito.cz,context,MediaHub,Android,Žena,40 - 59,Zlínský kraj,3,0,0,0.0,0.0
2026-07-26,Kliknito.cz,context,MediaHub,Android,Žena,40 - 59,Moravskoslezský kraj,1,0,0,0.0,0.0
2026-07-26,Kliknito.cz,context,Desktop,,Žena,25 - 39,Hlavní město Praha,226,0,0,0.0,7.91
2026-07-26,Kliknito.cz,context,Desktop,,Žena,25 - 39,Středočeský kraj,169,1,0,0.0,5.92
2026-07-26,Kliknito.cz,context,Desktop,,Žena,25 - 39,Jihočeský kraj,634,2,1,9906.45,22.19
2026-07-26,Kliknito.cz,context,Desktop,,Žena,25 - 39,Plzeňský kraj,200,1,0,0.0,7.0
2026-07-26,Kliknito.cz,context,Desktop,,Žena,25 - 39,Karlovarský kraj,456,0,0,0.0,15.96
2026-07-26,Kliknito.cz,context,Desktop,,Žena,25 - 39,Ústecký kraj,137,1,0,0.0,4.8
2026-07-26,Kliknito.cz,context,Desktop,,Žena,25 - 39,Liberecký kraj,78,1,0,0.0,2.73
2026-07-26,Kliknito.cz,context,Desktop,,Žena,25 - 39,Královéhradecký kraj,157,1,0,0.0,5.5
2026-07-26,Kliknito.cz,context,Desktop,,Žena,25 - 39,Pardubický kraj,679,0,0,0.0,23.77
2026-07-26,Kliknito.cz,context,Desktop,,Žena,25 - 39,Kraj Vysočina,3470,8,0,0.0,121.47
2026-07-26,Kliknito.cz,context,Desktop,,Žena,25 - 39,Jihomoravský kraj,1441,5,1,9906.45,50.44
2026-07-26,Kliknito.cz,context,Desktop,,Žena,25 - 39,Olomoucký kraj,435,0,0,0.0,15.23
2026-07-26,Kliknito.cz,context,Desktop,,Žena,25 - 39,Zlínský kraj,2141,4,0,0.0,74.95
2026-07-26,Kliknito.cz,context,Desktop,,Žena,25 - 39,Moravskoslezský kraj,647,2,0,0.0,22.65
2026-07-26,Kliknito.cz,context,Desktop,macOS,Žena,18 - 24,Hlavní město Praha,321,0,0,0.0,4.73
2026-07-26,Kliknito.cz,context,Desktop,macOS,Žena,18 - 24,Středočeský kraj,277,0,0,0.0,4.08
2026-07-26,Kliknito.cz,context,Desktop,macOS,Žena,18 - 24,Jihočeský kraj,29,0,0,0.0,0.43
2026-07-26,Kliknito.cz,context,Desktop,macOS,Žena,18 - 24,Plzeňský kraj,369,2,0,0.0,5.44
2026-07-26,Kliknito.cz,context,Desktop,macOS,Žena,18 - 24,Karlovarský kraj,486,2,0,0.0,7.17
2026-07-26,Kliknito.cz,context,Desktop,macOS,Žena,18 - 24,Ústecký kraj,131,0,0,0.0,1.93
2026-07-26,Kliknito.cz,context,Desktop,macOS,Žena,18 - 24,Liberecký kraj,80,0,0,0.0,1.18
2026-07-26,Kliknito.cz,context,Desktop,macOS,Žena,18 - 24,Královéhradecký kraj,1042,2,0,0.0,15.36
2026-07-26,Kliknito.cz,context,Desktop,macOS,Žena,18 - 24,Pardubický kraj,750,0,0,0.0,11.06
2026-07-26,Kliknito.cz,context,Desktop,macOS,Žena,18 - 24,Kraj Vysočina,15,0,0,0.0,0.22
2026-07-26,Kliknito.cz,context,Desktop,macOS,Žena,18 - 24,Jihomoravský kraj,196,2,0,0.0,2.89
2026-07-26,Kliknito.cz,context,Desktop,macOS,Žena,18 - 24,Olomoucký kraj,1185,4,0,0.0,17.47
2026-07-26,Kliknito.cz,context,Desktop,macOS,Žena,18 - 24,Zlínský kraj,360,0,0,0.0,5.31
2026-07-26,Kliknito.cz,context,Desktop,macOS,Žena,18 - 24,Moravskoslezský kraj,138,1,0,0.0,2.03
2026-07-26,Kopačka.cz,context,Tv,,Muž,40 - 59,Hlavní město Praha,464,1,1,0.0,2.56
2026-07-26,Kopačka.cz,context,Tv,,Muž,40 - 59,Středočeský kraj,358,1,1,0.0,1.97
2026-07-26,Kopačka.cz,context,Tv,,Muž,40 - 59,Jihočeský kraj,66,0,0,0.0,0.36
2026-07-26,Kopačka.cz,context,Tv,,Muž,40 - 59,Plzeňský kraj,138,0,0,0.0,0.76
2026-07-26,Kopačka.cz,context,Tv,,Muž,40 - 59,Karlovarský kraj,191,0,0,0.0,1.05
2026-07-26,Kopačka.cz,context,Tv,,Muž,40 - 59,Ústecký kraj,95,0,0,0.0,0.52
2026-07-26,Kopačka.cz,context,Tv,,Muž,40 - 59,Liberecký kraj,109,1,1,0.0,0.6
2026-07-26,Kopačka.cz,context,Tv,,Muž,40 - 59,Královéhradecký kraj,55,0,0,0.0,0.3
2026-07-26,Kopačka.cz,context,Tv,,Muž,40 - 59,Pardubický kraj,302,0,0,0.0,1.66
2026-07-26,Kopačka.cz,context,Tv,,Muž,40 - 59,Kraj Vysočina,374,0,0,0.0,2.06
2026-07-26,Kopačka.cz,context,Tv,,Muž,40 - 59,Jihomoravský kraj,69,0,0,0.0,0.38
2026-07-26,Kopačka.cz,context,Tv,,Muž,40 - 59,Olomoucký kraj,38,0,0,0.0,0.21
2026-07-26,Kopačka.cz,context,Tv,,Muž,40 - 59,Zlínský kraj,19,0,0,0.0,0.1
2026-07-26,Kopačka.cz,context,Tv,,Muž,40 - 59,Moravskoslezský kraj,7,0,0,0.0,0.04
2026-07-26,Kopačka.cz,context,Desktop,Windows,Žena,18 - 24,Hlavní město Praha,230,0,0,0.0,2.09
2026-07-26,Kopačka.cz,context,Desktop,Windows,Žena,18 - 24,Středočeský kraj,535,1,0,0.0,4.87
2026-07-26,Kopačka.cz,context,Desktop,Windows,Žena,18 - 24,Jihočeský kraj,546,0,0,0.0,4.97
2026-07-26,Kopačka.cz,context,Desktop,Windows,Žena,18 - 24,Plzeňský kraj,429,1,0,0.0,3.9
2026-07-26,Kopačka.cz,context,Desktop,Windows,Žena,18 - 24,Karlovarský kraj,535,1,0,0.0,4.87
2026-07-26,Kopačka.cz,context,Desktop,Windows,Žena,18 - 24,Ústecký kraj,375,2,0,0.0,3.41
2026-07-26,Kopačka.cz,context,Desktop,Windows,Žena,18 - 24,Liberecký kraj,115,0,0,0.0,1.05
2026-07-26,Kopačka.cz,context,Desktop,Windows,Žena,18 - 24,Královéhradecký kraj,246,1,0,0.0,2.24
2026-07-26,Kopačka.cz,context,Desktop,Windows,Žena,18 - 24,Pardubický kraj,77,0,0,0.0,0.7
2026-07-26,Kopačka.cz,context,Desktop,Windows,Žena,18 - 24,Kraj Vysočina,98,0,0,0.0,0.89
2026-07-26,Kopačka.cz,context,Desktop,Windows,Žena,18 - 24,Jihomoravský kraj,113,0,0,0.0,1.03
2026-07-26,Kopačka.cz,context,Desktop,Windows,Žena,18 - 24,Olomoucký kraj,113,0,0,0.0,1.03
2026-07-26,Kopačka.cz,context,Desktop,Windows,Žena,18 - 24,Zlínský kraj,34,0,0,0.0,0.31
2026-07-26,Kopačka.cz,context,Desktop,Windows,Žena,18 - 24,Moravskoslezský kraj,221,0,0,0.0,2.01
2026-07-26,Kámoši.net,context,Tv,Tizen,Žena,40 - 59,Hlavní město Praha,1,0,0,0.0,0.0
2026-07-26,Kámoši.net,context,Tv,Tizen,Žena,40 - 59,Středočeský kraj,1,0,0,0.0,0.0
2026-07-26,Kámoši.net,context,Tv,Tizen,Žena,40 - 59,Jihočeský kraj,1,0,0,0.0,0.0
2026-07-26,Kámoši.net,context,Tv,Tizen,Žena,40 - 59,Plzeňský kraj,1,0,0,0.0,0.0
2026-07-26,Kámoši.net,context,Tv,Tizen,Žena,40 - 59,Karlovarský kraj,1,0,0,0.0,0.0
2026-07-26,Kámoši.net,context,Tv,Tizen,Žena,40 - 59,Ústecký kraj,1,0,0,0.0,0.0
2026-07-26,Kámoši.net,context,Tv,Tizen,Žena,40 - 59,Liberecký kraj,1,0,0,0.0,0.0
2026-07-26,Kámoši.net,context,Tv,Tizen,Žena,40 - 59,Královéhradecký kraj,1,0,0,0.0,0.0
2026-07-26,Kámoši.net,context,Tv,Tizen,Žena,40 - 59,Pardubický kraj,2,0,0,0.0,0.0
2026-07-26,Kámoši.net,context,Tv,Tizen,Žena,40 - 59,Kraj Vysočina,1,0,0,0.0,0.0
2026-07-26,Kámoši.net,context,Tv,Tizen,Žena,40 - 59,Jihomoravský kraj,1,0,0,0.0,0.0
2026-07-26,Kámoši.net,context,Tv,Tizen,Žena,40 - 59,Olomoucký kraj,1,0,0,0.0,0.0
2026-07-26,Kámoši.net,context,Tv,Tizen,Žena,40 - 59,Zlínský kraj,1,0,0,0.0,0.0
2026-07-26,Kámoši.net,context,Tv,Tizen,Žena,40 - 59,Moravskoslezský kraj,1,0,0,0.0,0.0
2026-07-26,Kámoši.net,context,Tv,,Muž,60+,Hlavní město Praha,69,0,0,0.0,0.59
2026-07-26,Kámoši.net,context,Tv,,Muž,60+,Středočeský kraj,275,0,0,0.0,2.34
2026-07-26,Kámoši.net,context,Tv,,Muž,60+,Jihočeský kraj,58,0,0,0.0,0.49
2026-07-26,Kámoši.net,context,Tv,,Muž,60+,Plzeňský kraj,57,0,0,0.0,0.49
2026-07-26,Kámoši.net,context,Tv,,Muž,60+,Karlovarský kraj,120,0,0,0.0,1.02
2026-07-26,Kámoši.net,context,Tv,,Muž,60+,Ústecký kraj,177,1,0,0.0,1.51
2026-07-26,Kámoši.net,context,Tv,,Muž,60+,Liberecký kraj,8,0,0,0.0,0.07
2026-07-26,Kámoši.net,context,Tv,,Muž,60+,Královéhradecký kraj,35,1,0,0.0,0.3
2026-07-26,Kámoši.net,context,Tv,,Muž,60+,Pardubický kraj,24,0,0,0.0,0.2
2026-07-26,Kámoši.net,context,Tv,,Muž,60+,Kraj Vysočina,1,0,0,0.0,0.01
2026-07-26,Kámoši.net,context,Tv,,Muž,60+,Jihomoravský kraj,83,1,0,0.0,0.71
2026-07-26,Kámoši.net,context,Tv,,Muž,60+,Olomoucký kraj,49,0,0,0.0,0.42
2026-07-26,Kámoši.net,context,Tv,,Muž,60+,Zlínský kraj,23,0,0,0.0,0.2
2026-07-26,Kámoši.net,context,Tv,,Muž,60+,Moravskoslezský kraj,14,0,0,0.0,0.12
2026-07-26,Pozdní Zprávy,context,SmartPhone,,Muž,Neznámý,Hlavní město Praha,33,0,0,0.0,0.25
2026-07-26,Pozdní Zprávy,context,SmartPhone,,Muž,Neznámý,Středočeský kraj,91,0,0,0.0,0.68
2026-07-26,Pozdní Zprávy,context,SmartPhone,,Muž,Neznámý,Jihočeský kraj,71,0,0,0.0,0.53
2026-07-26,Pozdní Zprávy,context,SmartPhone,,Muž,Neznámý,Plzeňský kraj,500,0,0,0.0,3.74
2026-07-26,Pozdní Zprávy,context,SmartPhone,,Muž,Neznámý,Karlovarský kraj,4,0,0,0.0,0.03
2026-07-26,Pozdní Zprávy,context,SmartPhone,,Muž,Neznámý,Ústecký kraj,13,0,0,0.0,0.1
2026-07-26,Pozdní Zprávy,context,SmartPhone,,Muž,Neznámý,Liberecký kraj,20,0,0,0.0,0.15
2026-07-26,Pozdní Zprávy,context,SmartPhone,,Muž,Neznámý,Královéhradecký kraj,76,0,0,0.0,0.57
2026-07-26,Pozdní Zprávy,context,SmartPhone,,Muž,Neznámý,Pardubický kraj,287,0,0,0.0,2.14
2026-07-26,Pozdní Zprávy,context,SmartPhone,,Muž,Neznámý,Kraj Vysočina,54,0,0,0.0,0.4
2026-07-26,Pozdní Zprávy,context,SmartPhone,,Muž,Neznámý,Jihomoravský kraj,3,0,0,0.0,0.02
2026-07-26,Pozdní Zprávy,context,SmartPhone,,Muž,Neznámý,Olomoucký kraj,87,0,0,0.0,0.65
2026-07-26,Pozdní Zprávy,context,SmartPhone,,Muž,Neznámý,Zlínský kraj,41,0,0,0.0,0.31
2026-07-26,Pozdní Zprávy,context,SmartPhone,,Muž,Neznámý,Moravskoslezský kraj,75,1,0,0.0,0.56
2026-07-26,Pozdní Zprávy,context,Desktop,ChromeOS,Žena,60+,Hlavní město Praha,1079,3,0,0.0,21.48
2026-07-26,Pozdní Zprávy,context,Desktop,ChromeOS,Žena,60+,Středočeský kraj,250,1,0,0.0,4.98
2026-07-26,Pozdní Zprávy,context,Desktop,ChromeOS,Žena,60+,Jihočeský kraj,467,2,0,0.0,9.3
2026-07-26,Pozdní Zprávy,context,Desktop,ChromeOS,Žena,60+,Plzeňský kraj,345,1,0,0.0,6.87
2026-07-26,Pozdní Zprávy,context,Desktop,ChromeOS,Žena,60+,Karlovarský kraj,503,2,0,0.0,10.01
2026-07-26,Pozdní Zprávy,context,Desktop,ChromeOS,Žena,60+,Ústecký kraj,299,0,0,0.0,5.95
2026-07-26,Pozdní Zprávy,context,Desktop,ChromeOS,Žena,60+,Liberecký kraj,2,0,0,0.0,0.04
2026-07-26,Pozdní Zprávy,context,Desktop,ChromeOS,Žena,60+,Královéhradecký kraj,17,0,0,0.0,0.34
2026-07-26,Pozdní Zprávy,context,Desktop,ChromeOS,Žena,60+,Pardubický kraj,752,3,0,0.0,14.97
2026-07-26,Pozdní Zprávy,context,Desktop,ChromeOS,Žena,60+,Kraj Vysočina,1101,2,0,0.0,21.92
2026-07-26,Pozdní Zprávy,context,Desktop,ChromeOS,Žena,60+,Jihomoravský kraj,1030,1,0,0.0,20.51
2026-07-26,Pozdní Zprávy,context,Desktop,ChromeOS,Žena,60+,Olomoucký kraj,1631,9,0,0.0,32.47
2026-07-26,Pozdní Zprávy,context,Desktop,ChromeOS,Žena,60+,Zlínský kraj,263,3,0,0.0,5.24
2026-07-26,Pozdní Zprávy,context,Desktop,ChromeOS,Žena,60+,Moravskoslezský kraj,12,0,0,0.0,0.24
2026-07-26,Pozdní Zprávy,context,,,Žena,25 - 39,Hlavní město Praha,1,0,0,0.0,0.0
2026-07-26,Pozdní Zprávy,context,,,Žena,25 - 39,Středočeský kraj,1,0,0,0.0,0.0
2026-07-26,Pozdní Zprávy,context,,,Žena,25 - 39,Jihočeský kraj,1,0,0,0.0,0.0
2026-07-26,Pozdní Zprávy,context,,,Žena,25 - 39,Plzeňský kraj,1,0,0,0.0,0.0
2026-07-26,Pozdní Zprávy,context,,,Žena,25 - 39,Karlovarský kraj,1,0,0,0.0,0.0
2026-07-26,Pozdní Zprávy,context,,,Žena,25 - 39,Ústecký kraj,1,0,0,0.0,0.0
2026-07-26,Pozdní Zprávy,context,,,Žena,25 - 39,Liberecký kraj,1,0,0,0.0,0.0
